Date,Open,High,Low,Close*,Adj Close**,Volume
10/11/2011,"11,432.80","11,447.86","11,365.67","11,416.30","11,416.30","133,360,000"
10/10/2011,"11,104.56","11,433.33","11,104.56","11,433.18","11,433.18","144,270,000"
10/7/2011,"11,123.41","11,232.05","11,051.13","11,103.12","11,103.12","188,080,000"
10/6/2011,"10,939.87","11,132.60","10,858.67","11,123.33","11,123.33","190,030,000"
10/5/2011,"10,800.47","10,950.89","10,738.10","10,939.95","10,939.95","226,440,000"
10/4/2011,"10,651.44","10,825.44","10,404.49","10,808.71","10,808.71","267,440,000"
10/3/2011,"10,912.10","10,979.19","10,653.34","10,655.30","10,655.30","242,870,000"
9/30/2011,"11,152.32","11,152.39","10,909.52","10,913.38","10,913.38","213,200,000"
9/29/2011,"11,012.79","11,271.14","10,965.45","11,153.98","11,153.98","191,340,000"
9/28/2011,"11,189.10","11,317.08","10,996.98","11,010.90","11,010.90","172,410,000"
9/27/2011,"11,045.23","11,369.30","11,045.23","11,190.69","11,190.69","212,700,000"
9/26/2011,"10,771.78","11,057.49","10,771.78","11,043.86","11,043.86","225,620,000"
9/23/2011,"10,732.77","10,808.49","10,638.73","10,771.48","10,771.48","223,140,000"
9/22/2011,"11,121.89","11,122.12","10,597.14","10,733.83","10,733.83","306,170,000"
9/21/2011,"11,408.58","11,447.86","11,117.28","11,124.84","11,124.84","221,860,000"
9/20/2011,"11,401.47","11,550.22","11,373.92","11,408.66","11,408.66","157,060,000"
9/19/2011,"11,506.82","11,506.82","11,255.25","11,401.01","11,401.01","157,580,000"
9/16/2011,"11,433.71","11,532.47","11,407.41","11,509.09","11,509.09","425,900,000"
9/15/2011,"11,247.72","11,433.40","11,247.49","11,433.18","11,433.18","172,080,000"
9/14/2011,"11,106.83","11,386.78","10,993.84","11,246.73","11,246.73","192,600,000"
9/13/2011,"11,054.99","11,140.85","10,987.18","11,105.85","11,105.85","189,980,000"
9/12/2011,"10,990.01","11,062.03","10,824.76","11,061.12","11,061.12","197,160,000"
9/9/2011,"11,294.60","11,294.83","10,935.64","10,992.13","10,992.13","228,170,000"
9/8/2011,"11,414.86","11,477.30","11,283.74","11,295.81","11,295.81","173,040,000"
9/7/2011,"11,137.63","11,414.86","11,137.63","11,414.86","11,414.86","166,320,000"
